Id,中文,English
JTW.CardToughDecision,兵不血刃,Tough Decision
JTW.CardPersuasion,苦口婆心,Persuasion
JTW.CardTargetWeakness,趁人之危,Target Weakness
JTW.CardTeamFight,戮力同心,Team Fight
JTW.CardToughness,坚韧不拔,Toughness
JTW.CardPalmOfBuddha,如来神掌,Palm of Buddha
JTW.CardAbsorbStrength,可乘之机,Absorb Strength
JTW.CardFriendAndFoe,鸟尽弓藏,Friend and Foe
JTW.CardWhimsical,万全之策,Whimsical
JTW.CardMoonInTheWater,镜花水月,Moon in the Water
JTW.CardSpiritPact,灵魂契约,Spirit Pact
JTW.CardAmitabha,阿弥陀佛,Amitabha
JTW.CardCollaboration,众人拾柴,Collaboration
JTW.CardCompassion,动之以情,Compassion
JTW.CardTheMoreTheBetter,多多益善,The More The Better
JTW.CardGoodFortune,吉人天相,Good Fortune
JTW.CardFarSeer,神机妙算,Far Seer
JTW.CardTrueEvil,嫉恶如仇,True Evil
JTW.CardTheGoodWithin,立地成佛,The Good Within
JTW.CardAllInOneGo,一鼓作气,All in One Go
JTW.CardDisarm,放下屠刀,Disarm
JTW.CardEnemyOfEnemy,化敌为友,Enemy of Enemy
JTW.CardForgiveness,慈悲为怀,Forgiveness
JTW.CardSinful,绝地天通,Sinful
JTW.CardHostility,铁石心肠,Hostility
JTW.CardResurrection,普渡众生,Resurrection
JTW.CardGoodwill,面慈心善,Goodwill
JTW.CardAvici,阿鼻地狱,Avici
JTW.CardSermon,佛旨纶音,Sermon
JTW.CardCastAside,兔死狗烹,Cast Aside
JTW.CardAllysEncouragement,同舟共济,Ally's Encouragement
JTW.CardGoodDeeds,善哉善哉,Good Deeds
JTW.CardAbsorbEvil,火中取栗,Absorb Evil
JTW.CardAssurance,稳操胜券,Assurance
JTW.CardBestPractice,扬长避短,Best Practice
JTW.CardStaffStrike,锡杖杖击,Staff Strike
JTW.CardCalm,泰然处之,Calm
JTW.CardWeakeningStrike,安行疾斗,Weakening Strike
JTW.CardInvisibility,匿迹潜形,Invisibility
JTW.CardLinkLife,相依为命,Link Life
JTW.CardUnited,同心协力,United
JTW.CardInternalWound,暗箭中伤,Internal Wound
JTW.CardOverlyCautious,谨小慎微,Overly Cautious
JTW.CardRitual,舍身求法,Ritual
JTW.CardCondemnation,恶语相向,Condemnation
JTW.CardFearless,临危不惧,Fearless
JTW.CardFraternity,众志成城,Fraternity
JTW.CardCarefulAttack,谨言慎行,Careful Planning
JTW.CardCounterStrike,反戈一击,Counter Strike
JTW.CardAGoodPlan,深思熟虑,A Good Plan
JTW.CardDoubleTalk,流言蜚语,Double Talk
JTW.CardConfusion,平分秋色,Equal Terms
JTW.CardExhaustPossibilities,见缝插针,Exhaust Possibilities
JTW.CardLoneWolf,形单影只,Lone Wolf
JTW.CardGuardianAngel,佛性禅心,Guardian Angel
JTW.CardBuddhasBlessing,福泽一方,Buddha's Blessing
JTW.CardEndlessSuffering,苦海无涯,Endless Suffering
JTW.CardNoOneIsInnocent,殃及池鱼,No One is Innocent
JTW.CardConfrontTheDevil,狭路相逢,Confront the Devil
JTW.CardReasoning,晓之以理,Reasoning
JTW.CardSwiftMove,十万火急,Swift Move
JTW.CardDoubleDown,三申五令,Double Down
JTW.CardReadyToDie,视死如归,Ready to Die
JTW.CardGreaterGood,上善若水,Greater Good
JTW.CardConcentration,心无旁骛,Concentration
JTW.CardCallForProtection,奋不顾身,Call for Protection
JTW.CardSequesteredSoul,紧箍禁咒,Sequestered Soul
JTW.CardTranscendent,超凡入圣,Transcendent
JTW.CardMerciful,悲天悯人,Merciful
JTW.CardGoodIsEvil,反目成仇,Good is Evil
JTW.CardAbsorbLife,佛口蛇心,Absorb Life
JTW.CardUntargetable,无影无踪,Untargetable
JTW.CardPowerOfDarkness,蓄势待发,Power of Darkness
JTW.CardEmpowerTheTeam,厉兵秣马,Empower the Team
JTW.CardHMAbsorbBlock,严阵以待,Prepared
